event_id,trade_id,version,counterparty_id,instrument_id,trade_date,maturity_date,quantity,price,currency,side,source_system,event_ts
1c1d4833-eefc-42f2-a837-4d51252c12a1,TRD-08A2FDFDD323,1,CP_FUND_A,GBPUSD,2026-08-12,2026-08-08,6955,363.3156,EUR,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11+00:00
af04e432-52b7-44ad-8f36-274651d35481,TRD-310856AB15AD,1,CP_BANK_B,AAPL,2026-08-12,2027-04-24,3636,713.7951,EUR,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.001000+00:00
661d10f6-08ff-4150-8d45-d985dbf50cb4,TRD-642599D38C05,1,CP_BANK_A,MSFT,2026-08-12,2026-10-13,4535,1166.373,JPY,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.002000+00:00
23bf2ef6-0d8c-4f50-a55f-73e7bca9bbb3,TRD-04AEC99E35A5,1,CP_BANK_B,MSFT,2026-08-12,2026-07-26,15,2208.5373,EUR,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.003000+00:00
7b1a7a6e-316f-4d3e-8048-47dacbb2a9fe,TRD-6FE465A99E8A,1,CP_BANK_A,USDJPY,2026-08-12,2026-08-27,9133,1802.5164,GBP,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.004000+00:00
c8ceec1d-6be5-49a8-97cb-6284620b9d53,TRD-CE743BBEBDD7,1,CP_CORP_A,GBPUSD,2026-08-12,2027-02-13,7222,1554.4859,EUR,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.005000+00:00
28f3fd8a-029b-433a-aa9b-5c6ef2dbcbd3,TRD-12DE8AFEEEFD,1,CP_BANK_A,US10Y,2026-08-12,2026-09-02,6024,384.4494,JPY,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.006000+00:00
4bfa1bab-414f-4714-9bde-4023060e8c62,TRD-058147AE6E45,1,CP_FUND_A,GBPUSD,2026-08-12,2026-08-10,6161,828.3806,JPY,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.007000+00:00
06ed2d73-1505-46dd-bbb1-c7c9584fc783,TRD-B9CDB3BFBDFE,1,CP_FUND_A,US10Y,2026-08-12,2026-09-07,7208,389.8997,EUR,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.008000+00:00
5f911a59-c43d-48c0-872e-ca30d5cb44a0,TRD-08CE297BC9A0,1,CP_FUND_A,US10Y,2026-08-12,2026-08-05,786,1634.828,USD,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.009000+00:00
1f525a39-ba64-4781-b1bc-68116f60bb11,TRD-ED44A170E396,1,CP_BANK_B,AAPL,2026-08-12,2027-03-30,2919,1830.5096,GBP,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.010000+00:00
5605c470-e2fe-4cda-ae5f-e8ffd4c0f927,TRD-5B81ADBC974B,1,CP_BANK_A,EURUSD,2026-08-12,2027-06-28,2858,2116.1157,JPY,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.011000+00:00
012226bb-54a9-4642-906a-14bfb13063d2,TRD-C024D7F73ADD,1,CP_FUND_A,MSFT,2026-08-12,2027-05-05,5628,132.9002,JPY,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.012000+00:00
373a9307-0c84-4029-967d-a3b83c460fcf,TRD-16342BCCAA65,1,CP_BANK_B,USDJPY,2026-08-12,2026-11-25,30,1816.8496,USD,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.013000+00:00
f7c32863-ac57-44f6-bc30-687571c06416,TRD-52F1367A55DD,1,CP_CORP_A,USDJPY,2026-08-12,2027-03-17,7713,2170.7571,USD,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.014000+00:00
09cf2923-b4e8-4aa7-a740-a34a9b831bc8,TRD-2DBF5436A076,1,CP_CORP_A,EURUSD,2026-08-12,2026-12-29,2663,706.2954,JPY,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.015000+00:00
47259fbd-2ad4-4269-be71-9145e6ffc0c5,TRD-1E395CB72B54,1,CP_CORP_A,AAPL,2026-08-12,2027-04-05,3482,368.3459,USD,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.016000+00:00
db5415f9-1bb4-4072-b037-f1a61336f0c8,TRD-9E7B33B95B14,1,CP_BANK_B,USDJPY,2026-08-12,2027-06-23,4682,347.2516,EUR,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.017000+00:00
30342d72-2c6d-4ef6-96f0-78e02962bb1d,TRD-320767DDFD0B,1,CP_CORP_A,USDJPY,2026-08-12,2027-03-23,5709,1935.6879,USD,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.018000+00:00
ee4a3742-058d-47b8-acae-38e4ffa6aa03,TRD-EFE63988B825,1,CP_CORP_A,GBPUSD,2026-08-12,2026-12-05,951,1010.2569,USD,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.019000+00:00
66cd509d-cfd1-4322-848d-15f9c6f67015,TRD-882386AB24ED,1,CP_CORP_A,USDJPY,2026-08-12,2027-01-21,3276,790.8226,JPY,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.020000+00:00
73ca9963-a618-495e-aabd-75fc32976a10,TRD-3C1E5C8822A2,1,CP_BANK_A,EURUSD,2026-08-12,2026-11-27,9511,2127.0514,EUR,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.021000+00:00
c7ce03bd-c0fa-4171-8feb-b3fb57c25744,TRD-48A17E2D5891,1,CP_FUND_A,MSFT,2026-08-12,2027-01-09,6284,1202.9129,GBP,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.022000+00:00
a5f5de37-82c7-4774-bd37-fb1ce624d878,TRD-E7343D7173F9,1,CP_BANK_A,US10Y,2026-08-12,2026-11-20,9488,145.895,GBP,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.023000+00:00
28f9b9c4-c44b-4144-8e48-04eb7cf2282c,TRD-152271B3B679,1,CP_CORP_A,AAPL,2026-08-12,2026-10-05,1723,1836.4873,EUR,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.024000+00:00
bb56937f-09dd-4fc9-8b06-5986a614eebe,TRD-E62317039B6A,1,CP_FUND_A,AAPL,2026-08-12,2027-07-03,80,1809.1029,GBP,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.025000+00:00
a3d0eb86-1bd5-40d1-8daf-bd471fd26c4f,TRD-60E82CF0074E,1,CP_FUND_A,US10Y,2026-08-12,2026-09-14,7270,2205.689,EUR,SELL,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.026000+00:00
a03ff102-5321-45bd-bbbe-35b4d84b01be,TRD-C024D7F73ADD,0,CP_CORP_A,MSFT,2026-08-12,2027-04-27,8858,1610.5958,EUR,BUY,MOCK_TRADING_ENGINE,2026-08-12T10:49:11.027000+00:00
